지하철역 / 혼잡도,5시30분,6시00분,6시30분,7시00분,7시30분,8시00분,8시30분,9시00분,9시30분,10시00분,10시30분,11시00분,11시30분,12시00분,12시30분,13시00분,13시30분,14시00분,14시30분,15시00분,15시30분,16시00분,16시30분,17시00분,17시30분,18시00분,18시30분,19시00분,19시30분,20시00분,20시30분,21시00분,21시30분,22시00분,22시30분,23시00분,23시30분,00시00분,00시30분
신대방삼거리,28.85,24.27777778,21.01111111,26.48888889,33.21666667,41.52777778,35.06111111,36.35,31.46666667,29.60555556,27.95555556,27.78888889,27.35555556,29.92777778,30.60555556,28.95,29.15,27.87222222,28.72777778,29.09444444,30.52777778,35.28888889,38.85,38.43333333,38.89444444,37.78333333,35.17222222,31.11111111,27.20555556,23.82777778,25.39444444,25.78888889,25.58333333,23.78888889,23.89444444,20.64444444,13,3.466666667,2.455555556
신풍,24.96666667,22.83888889,19.57222222,24.88888889,31.72222222,38.08333333,33.05,33.08888889,28.15555556,27.41666667,25.67222222,25.27777778,24.91666667,26.32777778,26.77777778,26.48888889,26.9,25.17777778,25.97222222,26.99444444,28.71666667,30.73333333,34.80555556,35.31666667,36.36111111,34.76666667,32.85,29.02222222,24.92777778,21.88333333,23.88888889,23.45,22.66666667,21.32222222,22.07222222,18.97777778,12.07777778,3.166666667,1.966666667
어린이대공원,37.53888889,31.63333333,27.67222222,33.6,40.82777778,48.04444444,44.80555556,48.05555556,43.18888889,38.35555556,36.95555556,35.30555556,34.76111111,37.03333333,39,39.81111111,37.57777778,37.31666667,38.51111111,39.92222222,42.90555556,45.95,51.3,53.35555556,55.41111111,52.38333333,51.4,41.68333333,37.56111111,36.18333333,36.32777778,37.16111111,36.72777778,36.73888889,32.29444444,28.32222222,21.53888889,6.461111111,2.861111111
온수,24.28333333,22.86111111,23.15555556,25.75,34.83333333,41.99444444,37.37222222,36.07222222,35.87222222,30.50555556,29.23888889,32.36111111,29.4,29.60555556,30.68333333,31.84444444,28.20555556,30.02222222,30.21111111,30.52222222,33.80555556,38.58333333,40.16666667,42.15555556,44.98888889,44.50555556,42.69444444,32.25555556,32.15,27.13888889,27.86111111,29.86111111,25.8,29.13333333,24.85555556,24.35555556,15.49444444,5.244444444,2.011111111
용마산,31.84444444,28.10555556,27.35555556,33.3,40.41111111,47.09444444,43.62222222,44.49444444,39.77777778,37.16111111,33.38888889,33.61111111,32.83333333,34.43888889,35.57777778,36.9,34.19444444,33.71111111,33.94444444,35.74444444,38.31111111,41.19444444,45.53333333,46.88888889,49.37222222,49.77222222,48.36666667,37.73888889,35.2,31.74444444,32.18888889,33.57222222,31.36111111,32.65555556,29.1,24.98333333,19.70555556,6.416666667,3.144444444
이수,29.97222222,32.12777778,23.90555556,30.83888889,36.98888889,48.68888889,41.53888889,43.75,40.02777778,37.01666667,35.3,34.14444444,34.67222222,36.32777778,37.64444444,37.08888889,36.5,35.53888889,36.81666667,37.35,40.6,43.2,49.22222222,48.93333333,50.81666667,48.41111111,46.41111111,40.07777778,34.45,32.36111111,33.8,34.48333333,32.68333333,33.11666667,33.49444444,26.84444444,19.83888889,4.588888889,2.561111111
장승배기,29.63888889,23.92777778,20.09444444,25.77222222,32.93888889,41.41111111,33.17222222,36.06666667,31.28333333,29.52777778,27.05555556,27.91111111,26.52777778,28.18888889,28.70555556,28.60555556,28.1,27.34444444,28.7,28.62222222,30.40555556,34.08888889,37.58333333,37.45555556,38.76666667,37,35.89444444,31.51666667,27.87222222,23.69444444,25.63333333,26.02777778,26.06666667,23.76666667,23.81666667,21.13888889,12.96666667,2.55,2.583333333
중계,19.73888889,17.21666667,17.88888889,21.79444444,26.39444444,30.1,30.22222222,30.93888889,29.35,25.07222222,24.49444444,24.12222222,24.18333333,25.02777778,26.70555556,25.67222222,25.10555556,24.98333333,24.48888889,26.66666667,26.7,28.85555556,31.75,29.90555556,30.94444444,31.58333333,29.7,23.14444444,20.41111111,19.03333333,19.91111111,19.78888889,19.13888889,19.85,16.53333333,14.36666667,12.70555556,7.277777778,2.427777778
중곡,41.97222222,34.48888889,32.09444444,41.03888889,47.53333333,54.36111111,50.57222222,56.00555556,49.07777778,44.95555556,41.41666667,41.05,39.34444444,41.73888889,43.45,44.23888889,40.73333333,41.45,40.59444444,43.81111111,46.88888889,49.93888889,55.30555556,57.92222222,59.41666667,57.65,55.46111111,44.66666667,39.77777778,39.29444444,39.72777778,40.17222222,39.08333333,39.4,33.76111111,28.71666667,23.62222222,7.222222222,3.116666667
중화,27.28888889,24.41111111,23.78333333,29.75555556,35.46111111,41.23333333,39.01666667,41.68333333,37.07222222,33.18888889,30.51111111,31.43333333,30.93333333,32.23333333,33.70555556,33.48888889,31.55,32.11666667,31.17222222,32.77777778,35.27777778,37.38888889,41.97777778,41.68333333,43.48888889,43.26111111,41.59444444,32.20555556,29.78888889,27.63888889,29.13333333,29.23888889,28.43333333,29.05555556,25.57222222,21.28888889,18.75555556,8.022222222,2.611111111
천왕,24.54444444,18.37222222,23,25.61666667,33.12777778,37.47222222,35.80555556,32.66111111,27.30555556,26.85,26.23333333,24.06666667,24.16666667,26.23888889,23.88888889,25.44444444,25.54444444,25.17777778,22.72222222,27.58333333,27.32777778,28.32777778,32.46111111,36,35.72222222,39,36.93333333,27.43333333,23.74444444,21.17777778,22.84444444,20.77222222,19.92222222,21.61111111,19.78333333,17.57777778,10.50555556,3.188888889,1.161111111
철산,31.71666667,23.66111111,25.67777778,32.30555556,41.29444444,44.81666667,42.21666667,39.41111111,36.18888889,31.83888889,31.65555556,31.63888889,30.05555556,31.03333333,33.36666667,31.74444444,30.7,31.55,30.52222222,31.59444444,35.72222222,36.56111111,41.02222222,43.64444444,46.17777778,49.05,42.76111111,34.21666667,30.60555556,25.61111111,27.09444444,27.17777778,25.65,25.19444444,24.37222222,22.66111111,13.05,4.6,2.577777778
청담,15.33888889,29.03333333,24.77222222,30.1,36.81111111,42.35555556,40.05,44.84444444,44.08888889,38.29444444,36.33333333,34.57222222,36.71111111,37.92222222,39.07222222,39.49444444,38.54444444,37.21666667,39.64444444,41.69444444,44.06111111,47.82222222,53.50555556,56.56111111,55.89444444,57.41111111,52.41666667,43.67777778,38.06666667,37.26666667,37.06666667,38.08888889,36.31666667,38.16111111,32.88333333,26.53333333,20.57222222,4.222222222,2.305555556
태릉입구,20.48888889,21.23888889,22.30555556,27.51666667,32.43333333,36.7,36.13333333,37.33888889,33.92222222,30.53888889,28.59444444,29.18888889,29.22777778,30.83888889,31.19444444,31.5,29.93333333,30.24444444,29.76111111,32.26666667,33.68333333,35.88333333,40.61666667,38.47222222,41.89444444,42.05555556,39.58333333,31.26111111,27.58333333,25.71111111,27.76111111,26.8,26.46111111,28.03333333,24.61666667,21.02222222,18.15,4.327777778,2.127777778
하계,23.43888889,19.08333333,19.46111111,25.24444444,29.77222222,34.13888889,34.27222222,34.25555556,32.07777778,27.56666667,26.8,27.11111111,27.03333333,27.71111111,29.25,28.53888889,27.58333333,27.36666667,27.04444444,29.32222222,29.56111111,32.16111111,35.7,33.68888889,35.03888889,35.56111111,33.27222222,26.25555556,23.2,21.67222222,22.88333333,22.70555556,21.33333333,22.95,19.47222222,16.29444444,14.37777778,8.766666667,2.883333333
학동,19.74444444,29.65555556,22.67777778,26.56111111,33.91111111,39.55,36.47777778,40.57777778,41.19444444,36.28888889,36.2,34.62222222,37.13333333,37.48333333,39.93333333,39.70555556,40.05,38.20555556,40.68888889,41.98888889,45.48333333,49.06666667,52.62777778,58.31666667,57.01666667,58.03888889,51.86111111,45.87777778,38.15555556,37.72222222,36.61666667,36.86666667,35.49444444,37.15555556,32.82777778,26.40555556,20.37777778,5.433333333,2.961111111
